UNIT,TIMESTAMP,TYPE,MARKET,INSTRUMENT,OPEN,HIGH,LOW,CLOSE,FIRST_TRADE_TIMESTAMP,LAST_TRADE_TIMESTAMP,FIRST_TRADE_PRICE,HIGH_TRADE_PRICE,HIGH_TRADE_TIMESTAMP,LOW_TRADE_PRICE,LOW_TRADE_TIMESTAMP,LAST_TRADE_PRICE,TOTAL_TRADES,TOTAL_TRADES_BUY,TOTAL_TRADES_SELL,TOTAL_TRADES_UNKNOWN,NUMBER_OF_CONTRACTS,VOLUME,QUOTE_VOLUME,VOLUME_BUY,QUOTE_VOLUME_BUY,VOLUME_SELL,QUOTE_VOLUME_SELL,VOLUME_UNKNOWN,QUOTE_VOLUME_UNKNOWN
HOUR,2024-10-18 06:00:00,207,binance,BTCUSDT,67983.5,68371.0,67900.2,68083.8,1729231200,1729234799,67983.4,68371.0,1729232786,67900.2,1729231627,68083.8,185613,91526,94087,0,15007992,15007.992,1022420206.6102,7532.808,513252579.3357,7475.184,509167627.2745,0,0
HOUR,2024-10-18 07:00:00,207,binance,BTCUSDT,68083.8,68180.0,67849.8,67955.0,1729234800,1729238399,68083.9,68180.0,1729236297,67849.8,1729238005,67955.0,121300,57941,63359,0,8750780,8750.78,595097221.9344,3702.852,251841426.1617,5047.928,343255795.7727,0,0
HOUR,2024-10-18 08:00:00,207,binance,BTCUSDT,67955.0,68044.8,67813.1,67898.0,1729238401,1729241999,67955.1,68044.8,1729238726,67813.1,1729239452,67898.0,84755,44113,40642,0,4945838,4945.838,335849968.9618,2684.734,182326347.2253,2261.104,153523621.7365,0,0
HOUR,2024-10-18 09:00:00,207,binance,BTCUSDT,67898.0,68025.0,67738.2,67783.0,1729242000,1729245599,67898.1,68025.0,1729242654,67738.2,1729244749,67783.0,84398,39932,44466,0,5195335,5195.335,352631658.5933,2396.978,162699051.0775,2798.357,189932607.5158,0,0
HOUR,2024-10-18 10:00:00,207,binance,BTCUSDT,67783.0,67960.8,67759.0,67861.5,1729245600,1729249199,67783.1,67960.8,1729247291,67759.0,1729246215,67861.5,73015,39882,33133,0,4421516,4421.516,300073819.0149,2588.753,175691638.5739,1832.763,124382180.441,0,0
HOUR,2024-10-18 11:00:00,207,binance,BTCUSDT,67861.5,68019.6,67656.6,67692.7,1729249200,1729252799,67861.5,68019.6,1729250094,67656.6,1729252768,67692.7,79792,37058,42734,0,5426565,5426.565,368035970.3112,2460.631,166906206.5813,2965.934,201129763.7299,0,0
HOUR,2024-10-18 12:00:00,207,binance,BTCUSDT,67692.7,67820.6,67629.0,67649.9,1729252800,1729256399,67692.7,67820.6,1729253527,67629.0,1729256296,67649.9,88587,44025,44562,0,5654743,5654.743,382812889.366,2760.195,186872496.4041,2894.548,195940392.9619,0,0
HOUR,2024-10-18 13:00:00,207,binance,BTCUSDT,67649.9,68176.6,67640.0,68174.0,1729256400,1729259999,67649.8,68176.6,1729259995,67640.0,1729256522,68174.0,194375,99325,95050,0,13577087,13577.087,922520051.2932,7273.01,494189358.6948,6304.077,428330692.5984,0,0
HOUR,2024-10-18 14:00:00,207,binance,BTCUSDT,68174.0,68599.9,67916.0,68399.3,1729260000,1729263599,68174.0,68599.9,1729262048,67916.0,1729260953,68399.3,457352,223394,233958,0,40429841,40429.841,2761537157.0026,20798.079,1421096708.4497,19631.762,1340440448.5529,0,0
HOUR,2024-10-18 15:00:00,207,binance,BTCUSDT,68399.3,68870.7,68256.0,68710.0,1729263600,1729267199,68399.4,68870.7,1729266385,68256.0,1729264238,68710.0,302842,153731,149111,0,22995205,22995.205,1578376929.9639,12388.833,850492636.886,10606.372,727884293.0779,0,0
HOUR,2024-10-18 16:00:00,207,binance,BTCUSDT,68710.0,68896.6,68338.0,68772.0,1729267204,1729270799,68710.0,68896.6,1729270581,68338.0,1729268045,68772.0,211299,105705,105594,0,16586031,16586.031,1138380490.8937,8148.22,559361575.6741,8437.811,579018915.2196,0,0
HOUR,2024-10-18 17:00:00,207,binance,BTCUSDT,68772.0,68886.5,68625.0,68680.0,1729270800,1729274399,68771.9,68886.5,1729271552,68625.0,1729272655,68680.0,116725,53344,63381,0,6689646,6689.646,460087118.8688,2947.626,202743705.0057,3742.02,257343413.8631,0,0
HOUR,2024-10-18 18:00:00,207,binance,BTCUSDT,68680.0,69000.0,68528.0,68873.8,1729274400,1729277999,68680.0,69000.0,1729277191,68528.0,1729274480,68873.8,165262,87693,77569,0,12528879,12528.879,861895342.9485,6820.787,469313598.5576,5708.092,392581744.3909,0,0
HOUR,2024-10-18 19:00:00,207,binance,BTCUSDT,68873.8,68952.6,68540.0,68582.3,1729278000,1729281599,68873.7,68952.6,1729278559,68540.0,1729281492,68582.3,118428,55946,62482,0,9012124,9012.124,619372201.7758,3741.968,257164317.5649,5270.156,362207884.2109,0,0
HOUR,2024-10-18 20:00:00,207,binance,BTCUSDT,68582.3,68669.6,68370.7,68414.3,1729281600,1729285199,68582.3,68669.6,1729282658,68370.7,1729285082,68414.3,88464,44294,44170,0,6068864,6068.864,415763238.279,2973.036,203683392.8546,3095.828,212079845.4244,0,0
HOUR,2024-10-18 21:00:00,207,binance,BTCUSDT,68414.3,68477.7,68203.4,68396.9,1729285200,1729288799,68414.5,68477.7,1729287382,68203.4,1729288375,68396.9,59487,30445,29042,0,4030828,4030.828,275563368.1035,1865.605,127570849.0643,2165.223,147992519.0392,0,0
HOUR,2024-10-18 22:00:00,207,binance,BTCUSDT,68396.9,68401.9,68173.4,68185.1,1729288800,1729292399,68397.0,68401.9,1729288895,68173.4,1729292301,68185.1,79493,37096,42397,0,4873928,4873.928,332742152.39,2069.447,141311385.143,2804.481,191430767.247,0,0
HOUR,2024-10-18 23:00:00,207,binance,BTCUSDT,68185.1,68465.8,68180.3,68407.8,1729292400,1729295999,68185.0,68465.8,1729295339,68180.3,1729292449,68407.8,59668,35285,24383,0,3681291,3681.291,251594565.2987,2217.905,151563008.522,1463.386,100031556.7767,0,0
HOUR,2024-10-19 00:00:00,207,binance,BTCUSDT,68407.8,68457.4,68278.8,68310.1,1729296000,1729299599,68407.8,68457.4,1729296240,68278.8,1729298709,68310.1,61889,30836,31053,0,3500464,3500.464,239266406.4722,1909.732,130536874.3237,1590.732,108729532.1485,0,0
HOUR,2024-10-19 01:00:00,207,binance,BTCUSDT,68310.1,68438.5,68300.5,68313.9,1729299600,1729303199,68310.1,68438.5,1729302489,68300.5,1729299609,68313.9,50631,25812,24819,0,2554281,2554.281,174634374.1666,1350.828,92358175.0474,1203.453,82276199.1192,0,0
HOUR,2024-10-19 02:00:00,207,binance,BTCUSDT,68313.9,68455.6,68307.9,68438.0,1729303200,1729306799,68313.9,68455.6,1729304866,68307.9,1729303769,68438.0,38118,20365,17753,0,2406519,2406.519,164598964.3682,1397.778,95602475.1663,1008.741,68996489.2019,0,0
HOUR,2024-10-19 03:00:00,207,binance,BTCUSDT,68438.0,68684.9,68414.6,68428.4,1729306800,1729310399,68438.1,68684.9,1729307806,68414.6,1729307007,68428.4,82022,41467,40555,0,5617465,5617.465,385061264.236,2594.319,177845680.5432,3023.146,207215583.6928,0,0
HOUR,2024-10-19 04:00:00,207,binance,BTCUSDT,68428.4,68544.6,68300.0,68302.7,1729310401,1729313999,68428.4,68544.6,1729310934,68300.0,1729313990,68302.7,49893,22140,27753,0,3373622,3373.622,230747755.6698,1286.949,88051588.7993,2086.673,142696166.8705,0,0
HOUR,2024-10-19 05:00:00,207,binance,BTCUSDT,68302.7,68420.0,68292.3,68366.5,1729314000,1729317598,68302.7,68420.0,1729315232,68292.3,1729314015,68366.5,34584,17413,17171,0,2135436,2135.436,145985633.6782,1312.613,89736917.7767,822.823,56248715.9015,0,0
HOUR,2024-10-19 06:00:00,207,binance,BTCUSDT,68366.5,68428.5,68305.2,68311.9,1729317600,1729321199,68366.4,68428.5,1729318830,68305.2,1729321179,68311.9,30760,13101,17659,0,1739524,1739.524,118908419.6442,800.825,54747928.1555,938.699,64160491.4887,0,0
HOUR,2024-10-19 07:00:00,207,binance,BTCUSDT,68311.9,68385.1,68270.8,68328.9,1729321200,1729324799,68312.0,68385.1,1729322671,68270.8,1729322280,68328.9,38884,17490,21394,0,2074406,2074.406,141723327.7651,966.115,66009205.5417,1108.291,75714122.2234,0,0
HOUR,2024-10-19 08:00:00,207,binance,BTCUSDT,68328.9,68456.0,68317.9,68390.0,1729324804,1729328398,68328.9,68456.0,1729327676,68317.9,1729326167,68390.0,38799,20624,18175,0,2247348,2247.348,153673185.1615,1325.646,90652213.1089,921.702,63020972.0526,0,0
HOUR,2024-10-19 09:00:00,207,binance,BTCUSDT,68390.0,68420.0,68319.1,68327.1,1729328400,1729331999,68390.1,68420.0,1729329462,68319.1,1729330594,68327.1,24695,10831,13864,0,1402498,1402.498,95876508.5323,604.965,41358567.9169,797.533,54517940.6154,0,0
